feature,mean_abs_shap
mom_mean_pre,4.586303391192304
bdi_pre,1.8430159186051827
slope_mean_pre,0.42275281189564173
icd_f33_0,0.365757935002736
group_f_MusicTherapy,0.3414535537994893
hdrs_pre,0.29354902004652494
bmmr_tot_pre,0.25821273072888135
bmmr_dis_pre,0.2508554468390798
hferst_soc_pre,0.13806973852855267
bmmr_div_pre,0.13607022105911404
mom_sd_pre,0.12340195844736422
hferst_expe_pre,0.12273154267013318
hferst_avoid_pre,0.11866711877394666
bmmr_entr_pre,0.11782091739645993
bmmr_stro_pre,0.11658695472997659
hferst_prob_pre,0.11634246909779233
ctq,0.11387318324667045
bmmr_mw_pre,0.1094431036991435
hferst_expr_pre,0.10408289643769411
bmi,0.09976291128443675
bmmr_rev_pre,0.09017553037766815
age,0.08367653192848054
hferst_accept_pre,0.07575027526911163
icd_f33_1,0.0672168525360326
bmmr_sol_pre,0.06483884968527673
hferst_reapp_pre,0.061126411672140626
hferst_rum_pre,0.04465457033388074
study_cohort,0.038614087164751155
icd_f34_1,0.035872016169494265
icd_f33_2,0.015040655058383432
icd_f32_2,0.011732742747673766
icd_f32_1,0.010704018700967089
icd_f32_0,0.005257294471811711
